1,Runway
2,Zamboni
3,Anti-Mouse
4,Mouse
5,Lefty Square
6,Righty Square
7,Fat Sune
8,Fat Antisune
9,Kite
10,Anti-Kite
11,Downstairs
12,Upstairs
13,Gun
14,Anti-Gun
15,Squeegee
16,Anti-Squeegee
17,Slash
18,Crown
19,Bunny
20,Checkers
21,Double Headlights
22,Pi-Shape
23,U-Shape
24,Hammerhead
25,L-Shape
26,Antisune
27,Sune
28,Stealth
29,Spotted Chameleon
30,Anti-Spotted Chameleon
31,Couch
32,Anti-Couch
33,Key
34,City
35,Fish Salad
36,Sea Mew
37,Mounted Fish
38,Mario
39,Fung
40,Anti-Fung
41,Awkward Fish
42,Anti-Awkward Fish
43,Anti-P
44,P-Shape
45,T-Shape
46,Seein' Headlights
47,Anti-Breakneck
48,Breakneck
49,Right back squeezy
50,Right front squeezy
51,Bottlecap
52,Rice Cooker
53,Frying Pan
54,Anti-Frying Pan
55,Highway
56,Streetlights
57,H-Shape
